latitude,longitude,generation_time_str
26.907378,112.6157,190515115227
26.907441,112.615573,190515115232
26.907631,112.61509,190515115242
26.907575,112.614706,190515115248
26.90739,112.614466,190515115253
26.907151,112.614338,190515115259
26.906588,112.614378,190515115309
26.906128,112.615131,190515115319
26.90569,112.615478,190515115328
26.905075,112.61576,190515115338
26.904441,112.616006,190515115348
26.904326,112.616003,190515115358
26.904326,112.616005,190515115408
26.90432,112.616006,190515115418
26.904315,112.616011,190515115428
26.904261,112.616036,190515115438
26.904096,112.616113,190515115448
26.90369,112.61633,190515115458
26.903148,112.616503,190515115508
26.903033,112.616546,190515115518
26.903021,112.616555,190515115528
26.902571,112.616711,190515115538
26.901936,112.616999,190515115548
26.901256,112.617541,190515115558
26.900668,112.617964,190515115608
26.899946,112.618577,190515115618
26.899208,112.619004,190515115628
26.898696,112.619376,190515115638
26.898188,112.619902,190515115648
26.897438,112.620489,190515115658
26.896974,112.620774,190515115708
26.896964,112.620772,190515115718
26.896963,112.620776,190515115728
26.896494,112.621146,190515115738
26.896146,112.621336,190515115748
26.896048,112.621296,190515115758
26.895654,112.621649,190515115808
26.895426,112.621772,190515115818
26.895526,112.621656,190515115823
26.895543,112.621174,190515115827
26.895676,112.620059,190515115837
26.895698,112.619817,190515115847
26.895669,112.619751,190515115857
26.895218,112.619212,190515115907
26.895003,112.618609,190515115917
26.894846,112.618277,190515115927
26.894728,112.618077,190515115937
26.894693,112.617906,190515115941
26.894628,112.617399,190515115951
26.894616,112.616997,190515120001
26.894584,112.616704,190515120011
26.894571,112.61663,190515120021
26.894344,112.616031,190515120030
26.894198,112.615901,190515120033
26.894041,112.615911,190515120036
26.893249,112.616173,190515120046
26.892621,112.616398,190515120056
26.892241,112.616485,190515120106
26.892091,112.616605,190515120113
26.892093,112.616706,190515120116
26.892156,112.616831,190515120120
26.892183,112.616932,190515120124
26.892226,112.617169,190515120134
26.892233,112.617749,190515120144
26.892246,112.618274,190515120154
26.892176,112.618494,190515120158
26.892178,112.618642,190515120201
26.892159,112.618781,190515120211
26.892038,112.618979,190515120214
26.891403,112.619909,190515120224
26.891096,112.620237,190515120231
26.890693,112.620337,190515120239
26.890081,112.619972,190515120249
26.889334,112.619482,190515120259
26.888613,112.619067,190515120309
26.887976,112.618616,190515120319
26.887709,112.618271,190515120325
26.887571,112.617766,190515120332
26.887489,112.616744,190515120342
26.887398,112.615571,190515120352
26.887308,112.614318,190515120402
26.887239,112.613188,190515120412
26.887189,112.612163,190515120422
26.887243,112.610973,190515120432
26.887421,112.609786,190515120442
26.887451,112.609081,190515120452
26.887451,112.608631,190515120502
26.895071,112.601158,190515071048
26.895073,112.60116,190515071058
26.895073,112.60116,190515071108
26.895074,112.601161,190515071118
26.895074,112.601158,190515071128
26.895073,112.60116,190515071138
26.895074,112.60116,190515071148
26.895074,112.60116,190515071158
26.895074,112.60116,190515071208
26.895074,112.601161,190515071218
26.895074,112.601158,190515071228
26.895074,112.601158,190515071238
26.895074,112.601158,190515071248
26.895074,112.601158,190515071258
26.895074,112.601158,190515071308
26.895074,112.601158,190515071318
26.895074,112.601158,190515071328
26.895074,112.601158,190515071338
26.895074,112.601158,190515071348
26.895074,112.601158,190515071358
26.895074,112.601158,190515071408
26.895074,112.601158,190515071418
26.895074,112.601158,190515071428
26.895074,112.601158,190515071438
26.895074,112.601158,190515071448
26.895074,112.601158,190515071458
26.887518,112.608171,190515120511
26.887673,112.60804,190515120519
26.887954,112.607943,190515120525
26.888721,112.60772,190515120535
26.888921,112.607701,190515120545
26.889126,112.607496,190515120555
26.889843,112.607248,190515120605
26.890544,112.607033,190515120615
26.891429,112.60676,190515120625
26.891799,112.606598,190515120635
26.892288,112.60638,190515120645
26.892363,112.606353,190515120655
26.892373,112.606341,190515120705
26.892749,112.60639,190515120715
26.892964,112.606335,190515120720
26.893163,112.60632,190515120726
26.893624,112.606205,190515120736
26.893638,112.606203,190515120746
26.894201,112.60607,190515120756
26.894481,112.606005,190515120806
26.894901,112.605781,190515120816
26.895344,112.605526,190515120826
26.895656,112.605343,190515120836
26.896173,112.60497,190515120846
26.896296,112.604868,190515120851
26.896343,112.604755,190515120855
26.902551,112.527856,190515063126
26.902551,112.527856,190515063136
26.902551,112.527856,190515063146
26.902551,112.527856,190515063156
26.902551,112.527856,190515063207
26.902551,112.527856,190515063217
26.902551,112.527856,190515063227
26.902551,112.527856,190515063238
26.902551,112.527856,190515063248
26.902698,112.527871,190515063258
26.902526,112.527729,190515063302
26.902211,112.527557,190515063312
26.902041,112.527596,190515063321
26.901923,112.527819,190515063325
26.901598,112.528746,190515063335
26.9012,112.529727,190515063345
26.900848,112.530582,190515063355
26.900421,112.531599,190515063405
26.899991,112.532622,190515063416
26.899609,112.533531,190515063426
26.899299,112.534318,190515063436
26.898919,112.535239,190515063446
26.898526,112.536174,190515063456
26.898123,112.537134,190515063506
26.897729,112.538056,190515063516
26.897299,112.539073,190515063526
26.896358,112.604516,190515120905
26.896308,112.604343,190515120915
26.896349,112.604251,190515120922
26.896351,112.604048,190515120930
